D_km,SKR_0.0,SKR_0.01,SKR_0.1,SKR_0.15
0,0.9999806570681589,0.9171181676062746,0.4509889328495047,0.25278774980169155
1,0.9549725885238075,0.8758405053582242,0.4306907817028891,0.2414101667471138
2,0.911990199963926,0.8364206310394212,0.4113061997234753,0.23054465502189336
3,0.8709423124946567,0.7987749645393991,0.39279406758243846,0.22016817382674392
4,0.8317419595978832,0.7628236102512957,0.3751151211696462,0.21025871439852573
5,0.794305902031625,0.7284903366714317,0.35823185476074987,0.20079524775162738
6,0.7585547465510935,0.6957023342593263,0.34210845738826695,0.1917577159020143
7,0.724412707633964,0.6643900153536938,0.32671073988871185,0.18312693421447973
8,0.6918073091491695,0.6344869951722659,0.3120060319839122,0.17488460548320112
9,0.6606692926413893,0.6059298237577716,0.29796314375025845,0.16701323836582077
10,0.6309328624798696,0.5786579365856646,0.28455229035987045,0.15949614416910535
11,0.6025347348863788,0.552613499008431,0.2717450237712637,0.15231737299515646
12,0.5754147727664289,0.5277412471767102,0.2595141771474708,0.14546170204883552
13,0.5495154004639133,0.5039884280717819,0.24783380912232786,0.1389145851741339
14,0.5247816989668039,0.4813046656982863,0.23667915237299464,0.1326621375846925
15,0.5011611809236812,0.4596418343828618,0.22602653083012736,0.12669109613270743
16,0.4786037797746272,0.4389539964733283,0.21585335620735163,0.12098879620452294
17,0.45706167603553255,0.4191972533795238,0.20613805232244592,0.11554313583191375
18,0.43648910370611144,0.4003297225793853,0.19686000739196816,0.11034258306629852
19,0.41684248021547604,0.3823113716167357,0.18799954265308072,0.10537608748351196
20,0.3980800653729639,0.36510397010856416,0.17953786639003386,0.10063312046605652
21,0.38016212040800423,0.3486710355465783,0.17145702478305436,0.09610362294959315
22,0.36305062354428574,0.3329777048761089,0.16373988761680186,0.09177798535079695
23,0.34670924204461406,0.31799068983623924,0.1563700762242652,0.08764703462161802
24,0.33110338427164804,0.30367820592520695,0.14933196052734765,0.08370200655156901
25,0.3161999109182173,0.29000988208917605,0.14261061171392939,0.07993453433008685
26,0.3019672099889424,0.2769567364566482,0.13619177224353624,0.07633662599519472
27,0.2883751185776385,0.26449108092900586,0.13006182979392927,0.07290065117626834
28,0.2753947520164566,0.25258648343698875,0.124207775316616,0.0696193173747848
29,0.2629986042248803,0.24121766908318604,0.11861720391619317,0.06648567082756222
30,0.25116041350123686,0.23036053830658998,0.11327824458743421,0.06349306219034033
31,0.23985500345436633,0.2199920573288648,0.10817958460960997,0.0606351423988189
32,0.22905839215110838,0.21009022730450272,0.10331039528998906,0.057905850211995735
33,0.21874776478649188,0.20063406588718594,0.09866035649678113,0.05529939612439841
34,0.20890114684197741,0.19160349748896743,0.0942196094209088,0.05281024929856877
35,0.1994977815510427,0.18297936362747802,0.08997872301300774,0.050433137917586565
36,0.19051758485962625,0.17474339368189332,0.08592870804636844,0.04816301091917542
37,0.18194158616944356,0.16687809544992024,0.0820609785180389,0.045995057684691226
38,0.17375157410446737,0.15936679468927173,0.07836731918433985,0.04392467755917595
39,0.16593017921850325,0.15219356089261316,0.07483990738431978,0.04194747708192037
40,0.15846081051301275,0.14534317296159807,0.07147125419756628,0.04005927125046323
41,0.15132762416001988,0.13880110283622205,0.06825421510777,0.038256042102718754
42,0.14451548944912898,0.132553463926698,0.06518196419553818,0.03653397851371523
43,0.13800995665324509,0.12658703809089802,0.06224798959389173,0.03488941749366648
44,0.1317972263992743,0.12088912974281794,0.05944606588840528,0.03331887337465384
45,0.1258641203882642,0.11544767645320182,0.056770246220002256,0.031819015487352026
46,0.12019805343797721,0.11025112657562222,0.054214863598773734,0.030386661994131668
47,0.11478700679632592,0.10528846180269617,0.05177448689659004,0.029018775684406507
48,0.10961950264241757,0.10054914746032254,0.04944394841809762,0.027712454964371684
49,0.10468457974516193,0.0960231444352665,0.04721829931248076,0.026464927768416434
50,0.09997177020288624,0.09170084233049816,0.04509282355216862,0.025273546482863653
51,0.09547107724241641,0.08757307586427407,0.0430630096494679,0.024135789980041872
52,0.09117295401859121,0.08363108948988418,0.04112455135289428,0.02304923895687276
53,0.0870682967709535,0.07986652172275652,0.03927333769958292,0.02201159103863895
54,0.08314836702904556,0.07627138741181311,0.03750544114355983,0.02102064266007933
55,0.07940487302976447,0.0728380607964565,0.03581711746979351,0.020074296968787347
56,0.0758298737640776,0.0695592593342849,0.034204777567055075,0.019170543772025365
57,0.0724157765646739,0.06642802825329872,0.03266500571192481,0.018307465961757585
58,0.06915534415061367,0.06343772274787256,0.03119453411984345,0.017483233187041973
59,0.06604166041025232,0.06058200914707892,0.029790245354484404,0.016696093871275606
60,0.06306811675264389,0.057854820872031656,0.02844915619785866,0.015944387747077692
61,0.06022842472055514,0.0552503727180139,0.02716843032751231,0.015226510798824505
62,0.057516517876597804,0.05276313975568025,0.025945349234319483,0.01454094329299226
63,0.05492668794561476,0.05038785590019514,0.024777311304202798,0.013886231396983688
64,0.052453424785962766,0.0481194890301836,0.023661846711413085,0.013260985472042897
65,0.05009148203249382,0.04595321095203047,0.022596582483128902,0.012663879688998105
66,0.04783584944368919,0.04388441925686459,0.021579263889130423,0.012093652293873325
67,0.04568174227108865,0.04190875404448447,0.020607734266703523,0.011549086910370283
68,0.04362459110556175,0.040021993351072885,0.01967993304988242,0.011029028441240919
69,0.04166002041908837,0.03822015738008637,0.018793886556323948,0.010532380598015232
70,0.03978389353801666,0.036499420934297734,0.01794771626463259,0.010058084451677659
71,0.03799220403413411,0.03485613417137604,0.017139632747888947,0.009605135565379619
72,0.03628115886623369,0.0332867969130871,0.016367919000472724,0.009172569418435358
73,0.03464712843991162,0.03178809581397144,0.015630935661518797,0.008759474895371397
74,0.03308664652380148,0.030356852161954606,0.01492712709855146,0.008364974228989044
75,0.031596402893350424,0.0289900196216667,0.014254990571986792,0.00798822706758646
76,0.03017323630933167,0.02768469414055888,0.013613104700528341,0.007628436143829938
77,0.028814127810754694,0.0264381269405494,0.013000113811778067,0.007284836677310273
78,0.027516194311445565,0.025247665547684317,0.012414706122016176,0.006956703789755948
79,0.026276682484148384,0.024110795049792147,0.011855647852149022,0.006643339352570839
80,0.025092962920542288,0.023025083993411657,0.011321757286522632,0.006344076962195657
81,0.023962524553645493,0.021988230133316772,0.010811888193798587,0.006058285229325609
82,0.02288296933288442,0.020998049913654174,0.010324969999625823,0.005785356160007513
83,0.021852007136442742,0.020052438445164137,0.009859968585425004,0.005524709954025429
84,0.020867450914326558,0.019149371210077974,0.009415892617779163,0.005275797842604655
85,0.019927212047685113,0.01828697052124607,0.008991805046748012,0.0050380863916951145
86,0.019029295916858903,0.01746337119027019,0.008586802853136531,0.004811073471145386
87,0.018171797666480995,0.016676841500651424,0.008200028752709638,0.00459427822347086
88,0.01735289855929076,0.01592571120770712,0.007830659907133518,0.0043872404535673
89,0.016570860664153288,0.015208390347507665,0.007477923730830188,0.004189520953025262
90,0.015824025250701004,0.014523348594071858,0.007141058274199925,0.00400069889806404
91,0.015110807935745927,0.013869134047874645,0.006819351002898452,0.0038203752640178223
92,0.014429695633304478,0.013244385144653769,0.006512126575199204,0.003648171447880596
93,0.013779249614838942,0.01264773797480578,0.00621872871686082,0.003483714385576417
94,0.013158077542395334,0.012077947973389003,0.005938539312015949,0.0033266612750777877
95,0.012564871300785395,0.011533802273567203,0.005670956835711937,0.003176670971114631
96,0.01199835447410163,0.011014151464064915,0.005415418061781591,0.0030334404114204447
97,0.011457348168911682,0.010517877235516181,0.0051713818353580415,0.0028966483591842795
98,0.010940696663463164,0.010043952785662046,0.0049383270943561056,0.002766019196007742
99,0.010447324074287992,0.009591357823233575,0.004715763412686246,0.0026412661452421063
100,0.009976142768241261,0.00915912208207422,0.004503216342634634,0.0025221292396595367
101,0.009526174037467415,0.008746352391882166,0.004300234615855875,0.0024083508610025514
102,0.00909644033586739,0.008352152997984244,0.004106387959977132,0.002299698065373337
103,0.008686073908716754,0.00797569909725447,0.00392126722208434,0.002195933439057151
104,0.00829418202355655,0.007616187761166379,0.003744478318709343,0.0020968352314685267
105,0.007919949365860062,0.007272854217177854,0.0035756454842096473,0.0020022043307783214
106,0.007562536631884277,0.006944980113831865,0.0034144105608081695,0.001911829107205653
107,0.007221243701229412,0.00663185594523446,0.0032604329288482043,0.0018255208746978538
108,0.006895291296400143,0.006332821870311661,0.003113384458857178,0.0017430982513123201
109,0.006584025857018364,0.006047253265135823,0.0029729586340456735,0.0016643834511768708
110,0.006286780246955005,0.0057745362061512075,0.0028388472149855196,0.0015892133191054794
111,0.006002885978367395,0.005514098235300751,0.0027107784891281994,0.0015174251449832977
112,0.005731798827354002,0.005265369283319054,0.0025884699762015327,0.0014488694179279286
113,0.005472926338816831,0.005027843073418958,0.002471665980041347,0.0013833977768092972
114,0.005225708564571714,0.004801007419367208,0.002360119577648989,0.001320873817891555
115,0.004989595446198871,0.004584381182212871,0.0022535938124436366,0.0012611638308348693
116,0.004764132467027697,0.004377504874947761,0.0021518625889886504,0.001204138684200498
117,0.004548821975292505,0.004179945175211351,0.0020547070090985954,0.0011496843345252727
118,0.004343206990747264,0.003991272224028094,0.001961927398428833,0.001097677328827425
119,0.004146851153803432,0.00381109116115244,0.0018733203296590183,0.001048014360262434
120,0.003959337740499335,0.0036390197968680193,0.0017887041025880864,0.001000584863746787
121,0.0037802687802577536,0.0034746965059131558,0.0017079003823347921,0.0009552897102559018
122,0.0036092642127023553,0.0033177660791817044,0.0016307292446642357,0.000912033626462681
123,0.003445961082059011,0.0031678989547466022,0.0015570298302808986,0.0008707242512296779
124,0.0032900127676196646,0.003024777241592988,0.00148664910234962,0.0008312727094285468
125,0.0031410882487201415,0.002888095338026079,0.001419435507787889,0.000793599781764876
126,0.0029988714027723916,0.002757566730279404,0.0013552474356122667,0.0007576202903579359
127,0.0028630693668356784,0.0026329041596758174,0.0012939460677412811,0.0007232598951341441
128,0.002733375678865067,0.00251386171298338,0.0012354059949708598,0.0006904480427173747
129,0.0026095229248803593,0.0024001874817679877,0.0011795015786909796,0.0006591089086135705
130,0.0024912419159987915,0.002291622476983991,0.0011261155196131693,0.0006291840057177146
131,0.0023782891088272398,0.002187942057002688,0.0010751292955611187,0.0006006042575911789
132,0.0022704423596951384,0.002088928131370965,0.001026437829747648,0.0005733121396291718
133,0.0021674459507037883,0.00199437109208267,0.0009799318252883176,0.000547250409772176
134,0.0020690900938033037,0.001904065660909379,0.0009355276231682892,0.0005223581144233806
135,0.0019751659349024216,0.001817832256115759,0.000893121664974064,0.0004985866524906714
136,0.0018854740181978367,0.0017354778218684201,0.0008526200724602028,0.0004758872702176955
137,0.0017998238637033195,0.0016568304277801106,0.0008139439107010928,0.0004542076685013425
138,0.0017180335636420956,0.001581723246178338,0.0007770096765127313,0.00043350436972887537
139,0.0016399350223151074,0.0015099947317555767,0.0007417348914418079,0.000413731717106021
140,0.0015653508555758858,0.0014414971629826074,0.0007080500174129526,0.00039484877053023136
141,0.0014941326179044158,0.0013760755356702432,0.0006758792398872457,0.00037681908045438157
142,0.0014261208345848451,0.0013136056725634004,0.0006451556364283379,0.000359598172421051
143,0.0013611754837481286,0.0012539494535625773,0.0006158190453440676,0.00034315363297387407
144,0.001299157267441666,0.0011969829082641677,0.0005877981609804799,0.00032744773497047437
145,0.0012399357081785585,0.0011425753794235575,0.0005610432084383707,0.0003124502988665339
146,0.0011833845196644673,0.0010906173517459222,0.0005354880031721145,0.0002981271436516095
147,0.001129383514723587,0.0010409906513298376,0.0005110854042330756,0.00028444729288443216
148,0.0010778179153925725,0.0009936068911640355,0.0004877811462490474,0.0002713853564871709
149,0.0010285781094763404,0.0009483566888683258,0.00046552568982624425,0.0002589109348920635
150,0.0009815594180559337,0.0009051440920340967,0.0004442717783488448,0.00024699730950515576
151,0.0009366618734626423,0.0008638840613426024,0.00042397433642230763,0.00023562062314197413
152,0.0008937900072449694,0.0008244747745660324,0.0004045904016034511,0.00022475429089126764
153,0.0008528526476704833,0.0007868402410341288,0.000386081583421827,0.00021438030093737503
154,0.000813762726339429,0.0007508967225616189,0.00036840401196396933,0.00020447170680269522
155,0.000776439906945293,0.0007165752032743747,0.0003515215987378686,0.00019500898994191939
156,0.0007407990886911851,0.0006837943251098101,0.0003353995397191528,0.00018597204664640957
157,0.0007067673140379686,0.0006524948886905126,0.00032000340854738567,0.00017734021363990276
158,0.0006742721620622417,0.0006226027448090421,0.0003052974871520851,0.00016910115691636798
159,0.0006432444713618067,0.0005940602196970633,0.00029125790827880043,0.0001612300448496639
160,0.000613618193543686,0.0005668134325442258,0.0002778476445563842,0.00015371359023405113
161,0.0005853302534481836,0.0005407836504327624,0.0002650430164302146,0.00014653547140429905
162,0.000558310088700386,0.0005159172739284023,0.00025281306563338843,0.0001396807380285528
163,0.000532520638620847,0.000492180531100294,0.00024113492488855008,0.00013313460257879933
164,0.0005078967942594672,0.00046952244630164846,0.00022997694977265065,0.0001268833010855118
165,0.00048438610351510307,0.0004478762124281469,0.00021932891865689299,0.00012091150835863456
166,0.0004619451349837659,0.00042720445548313475,0.00020915888522194447,0.000115212460327679
167,0.00044051267565162357,0.0004074661012059234,0.0001994465176184166,0.00010976871308108314
168,0.00042004980643850184,0.000388615789345077,0.0001901705768490162,0.00010456864657565294
169,0.00040051934947089776,0.00037061700508200085,0.00018131239039711713,9.960423755362913e-5
170,0.00038185889666801496,0.00035342852928372094,0.00017285296134046823,9.486245139192612e-5
171,0.00036404766322854337,0.0003370142002010157,0.00016477306963589726,9.03347478696163e-5
172,0.00034704635388228074,0.00032134095735505123,0.00015705845711837076,8.600922723982007e-5
173,0.00033081516941206655,0.0003063768534924391,0.00014969126359793805,8.188118956266983e-5
174,0.00031531944638278105,0.0002920880927410212,0.00014265587356828755,7.793877267769965e-5
175,0.0003005260813074647,0.0002784443197956701,0.00013593737122214226,7.417052506926184e-5
176,0.0002864115856223017,0.00026542118469503076,0.00012952150873692998,7.057509142298051e-5
177,0.0002729294776696271,0.000252980707982051,0.00012339467707817974,6.714113181901675e-5
178,0.0002600592124940821,0.00024110471745636625,0.00011754387860692847,6.386186684551149e-5
179,0.0002477732642398691,0.0002297615807213517,0.00011195791960003922,6.0730351422264115e-5
180,0.00023604533862990783,0.000218929512340375,0.00010662211785911205,5.773994649780365e-5
181,0.0002248429765683647,0.00020859450591507875,0.00010152777170787812,5.48862050913174e-5
182,0.0002141569557229827,0.00019871881650252473,9.666149684339103e-5,5.2159350296335965e-5
183,0.00020395693685438775,0.00018929525772371875,9.201555064736761e-5,4.955544921809078e-5
184,0.00019422102894196036,0.00018029467053038757,8.757999945183745e-5,4.706881570093268e-5
185,0.0001849316035134724,0.00017170589502502504,8.334377479871082e-5,4.469450042556224e-5
186,0.00017606124123715442,0.0001635035697980428,7.929799745993375e-5,4.242730587077565e-5
187,0.00016759312185822908,0.00015567287539792105,7.543513317504346e-5,4.0262418816766995e-5
188,0.00015951271005445555,0.00014819714269477966,7.174654838585177e-5,3.8195066021020095e-5
189,0.00015180082892129486,0.00014106045318540666,6.822381349629644e-5,3.622060545480703e-5
190,0.00014444132213728238,0.0001342468638513806,6.486141818321678e-5,3.4334258720426796e-5
191,0.00013741287188338746,0.00012774340861458554,6.165005544452355e-5,3.253538520826874e-5
192,0.0001307119167586109,0.00012153540120971699,5.858299578832608e-5,3.0818538235481645e-5
193,0.00012431575226927363,0.00011560959678110114,5.5655076567338246e-5,2.9177454546411126e-5
194,0.00011821232837545564,0.00010995334596874814,5.2858426980558015e-5,2.7609731175581913e-5
195,0.00011239331415299188,0.00010454877516228519,5.019109033431373e-5,2.6114680691306564e-5
196,0.0001068332072130539,9.940351148582663e-5,4.764218733232333e-5,2.4684644646637737e-5
197,0.00010153297391170565,9.447845100888581e-5,4.520828582362736e-5,2.3321632263102025e-5
198,9.647292256622245e-5,8.978514695245392e-5,4.288543602207013e-5,2.202272292933586e-5
199,9.164859359940859e-5,8.530618706216297e-5,4.066694078512621e-5,2.0780420569468494e-5
200,8.704471177144631e-5,8.103196924508671e-5,3.854971603200472e-5,1.9594461180868263e-5
201,8.265140096345855e-5,7.69533219196732e-5,3.652883419571067e-5,1.8461266539949656e-5
202,7.846210551903617e-5,7.306148467872261e-5,3.4599321529170684e-5,1.7380487637247205e-5
203,7.446759600377741e-5,6.935328402287823e-5,3.275702989281489e-5,1.634976593944999e-5
204,7.065631584365959e-5,6.580514483328891e-5,3.099878750112211e-5,1.5364129518486963e-5
205,6.702138934926312e-5,6.242501540759354e-5,2.9320493140341622e-5,1.4424610508671574e-5
206,6.355437844361784e-5,5.920350360553976e-5,2.771857823440458e-5,1.3528008065683622e-5
207,6.0248617119234406e-5,5.612730395619083e-5,2.619004736149021e-5,1.267043325074823e-5
208,5.709646606454377e-5,5.31930295206967e-5,2.473041204914034e-5,1.1855024436125968e-5
209,5.409099423872797e-5,5.039163097903685e-5,2.3337801374011672e-5,1.1074700347979516e-5
210,5.122558195891105e-5,4.772466831892575e-5,2.201006523072841e-5,1.0330920860907822e-5
211,4.84939080468458e-5,4.5179264718023905e-5,2.074184878227001e-5,9.621283706700542e-6
212,4.588993730696228e-5,4.275200178963832e-5,1.9531358259133744e-5,8.94427386491711e-6
213,4.340790832630189e-5,4.0437588877199315e-5,1.837693680083887e-5,8.298444358450373e-6
214,4.104232166119814e-5,3.8230972647689486e-5,1.7275629454736635e-5,7.68349684117231e-6
215,3.878803078925271e-5,3.6127326620801316e-5,1.6225089043000168e-5,7.094688733487617e-6
216,3.663969304881384e-5,3.41220418855132e-5,1.5220543706960432e-5,6.534543387302892e-6
217,3.4592718265857514e-5,3.221198473887884e-5,1.426487978733363e-5,6.000407511414411e-6
218,3.2643940630047017e-5,3.0390401189804074e-5,1.3353552463383959e-5,5.491807398388241e-6
219,3.078624749507999e-5,2.8655811162032064e-5,1.2484608696144864e-5,5.005678369816155e-6
220,2.901755162754257e-5,2.7001973994719643e-5,1.1653485628637552e-5,4.54435657895654e-6
221,2.7332089348246624e-5,2.542707384961829e-5,1.0866914571051887e-5,4.10170832877074e-6
222,2.5727799497927348e-5,2.3926042101909057e-5,1.011373047922682e-5,3.6820557728598138e-6
223,2.4199398769725126e-5,2.2495947055578342e-5,9.39510875502646e-6,3.2828198142933083e-6
224,2.2742805166928173e-5,2.1133200208134565e-5,8.710700207316434e-6,2.901720847003685e-6
225,2.135601839601825e-5,1.9836524109176033e-5,8.059118179989263e-6,2.5380595836570883e-6
226,2.004018372743668e-5,1.8604374334146637e-5,7.438383275784451e-6,2.19241417485842e-6
227,1.8789558904086765e-5,1.7428752115502707e-5,6.847273831475763e-6,1.864122698526921e-6
228,1.759789553096101e-5,1.6314491149804675e-5,6.2844203711099e-6,1.5505149079036992e-6
229,1.6463348803932584e-5,1.5251651453203446e-5,5.7483539159968e-6,1.2522596967185645e-6
230,1.5382398505212122e-5,1.4240060447840814e-5,5.237877701598808e-6,9.70729741082153e-7
231,1.4358207227925151e-5,1.327750498239091e-5,4.752287127770473e-6,7.018388707880824e-7
232,1.3384165324746119e-5,1.236090947375843e-5,4.290069105902774e-6,4.4634551022902965e-7
233,1.2457978455198631e-5,1.1490177075500828e-5,3.8505274176282414e-6,2.0368115619299147e-7
234,1.1577182330183032e-5,1.0667699003391246e-5,3.433159834566546e-6,0.0
235,1.0740712860021594e-5,9.882280350585074e-6,3.035597631728216e-6,0.0
236,9.946267615440055e-6,9.136202728854507e-6,2.658453456415711e-6,0.0
237,9.191983130628235e-6,8.425648177557453e-6,2.2984553476383867e-6,0.0
238,8.47407570750225e-6,7.752392656971638e-6,1.9584200551960138e-6,0.0
239,7.79471613131492e-6,7.115330586717093e-6,1.6363736408895119e-6,0.0
240,7.151044844551886e-6,6.509932629317508e-6,1.3306730719231652e-6,0.0
241,6.540140822854182e-6,5.933160880994232e-6,1.039598318090725e-6,0.0
242,5.958231720086856e-6,5.390962899690008e-6,7.62954908429597e-7,0.0
243,5.411906690028896e-6,4.87419961746949e-6,5.011641019741468e-7,0.0
244,4.891130308135229e-6,4.3845485929790365e-6,2.573873516091122e-7,0.0
245,4.398067448458889e-6,3.920743811850672e-6,2.3747974322303706e-8,0.0
246,3.930473415574929e-6,3.480813432388714e-6,0.0,0.0
247,3.4888580016277947e-6,3.0664123186285272e-6,0.0,0.0
248,3.0721085538648196e-6,2.673769371561934e-6,0.0,0.0
249,2.6778598343189393e-6,2.302449467600067e-6,0.0,0.0
250,2.305020972485795e-6,1.9492155327346756e-6,0.0,0.0
251,1.9528498770223512e-6,1.6198989847578506e-6,0.0,0.0
252,1.619522553954432e-6,1.306864497557194e-6,0.0,0.0
253,1.3058002899021002e-6,1.0110337609934e-6,0.0,0.0
254,1.0099789142808075e-6,7.326893190721e-7,0.0,0.0
255,7.312101813136286e-7,4.704151324398998e-7,0.0,0.0
